id,registered_date,permit_expires,street_address,owner_name,owner_address,owner_city,owner_state,owner_zip,agent_name,agent_address,agent_zip,building_type,property_type,building_num,unit_num,bedrooms,occup_load,efficiency,sleep_room
5137,1997-09-24,2022-01-24,101 N Roosevelt ST,Diana Mcguire Reynolds,2312 W. Beaumont Lane,Bloomington,IN,47404,No Agent,,,Single-Family,,1,,3,3,"",""
5138,1997-08-18,2021-11-28,1116 S Park AVE,"Deckard Homes & Apartments - Deckard,  Richard E",Po Box 110,Bloomington,IN,47402,No Agent,,,Single-Family,House,1,,3,3,"",""
122,1984-03-12,2022-07-19,2361 S Burberry LN,Matt L. Wisen,P.O. Box 1400,Bloomington,IN,47401,No Agent,,,Single-Family,,1,,2,5,"",""
2112,1996-04-19,2024-06-17,396 E Varsity LN,"Stadium Crossing, Llc",2015 N. Dunn St,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,3,5,"",""
5144,1997-11-10,2022-08-07,2693 S Mccartney LN,Powell Management Group,1101 S. Whisnand Rd,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,2,3,"",""
5175,1999-09-08,2021-12-02,203 E Burks DR,"Keltner, Michael D.",6840 Senators Dr,Indianapolis,IN,46217,No Agent,,,Multi-Family,Apartment,1,,2,5,"",""
5175,1999-09-08,2021-12-02,201 E Burks DR,"Keltner, Michael D.",6840 Senators Dr,Indianapolis,IN,46217,No Agent,,,Multi-Family,Apartment,1,,2,5,"",""
5175,1999-09-08,2021-12-02,203 E Burks DR,"Keltner, Michael D.",6840 Senators Dr,Indianapolis,IN,46217,No Agent,,,Multi-Family,Apartment,1,,2,5,"",""
5175,1999-09-08,2021-12-02,201 E Burks DR,"Keltner, Michael D.",6840 Senators Dr,Indianapolis,IN,46217,No Agent,,,Multi-Family,Apartment,1,,2,5,"",""
5180,1997-10-14,2022-08-09,3435 S Burks CT,"Hubbard, Jeremiah",3435 S. Burks Ct.,Bloomington,IN,47401,No Agent,,,Multi-Family,Apartment,3433,,3,5,"",""
5180,1997-10-14,2022-08-09,3433 S Burks CT,"Hubbard, Jeremiah",3435 S. Burks Ct.,Bloomington,IN,47401,No Agent,,,Multi-Family,Apartment,3433,,3,5,"",""
5185,1997-10-14,2022-01-17,3425 S Burks CT,"Wray, James B",3920 Kennedy Drive,Bloomington,IN,47401,No Agent,,,Multi-Family,Condo,1,,3,5,"",""
5185,1997-10-14,2022-01-17,3427 S Burks CT,"Wray, James B",3920 Kennedy Drive,Bloomington,IN,47401,No Agent,,,Multi-Family,Condo,1,,3,5,"",""
5185,1997-10-14,2022-01-17,3425 S Burks CT,"Wray, James B",3920 Kennedy Drive,Bloomington,IN,47401,No Agent,,,Multi-Family,Condo,1,,3,5,"",""
5185,1997-10-14,2022-01-17,3427 S Burks CT,"Wray, James B",3920 Kennedy Drive,Bloomington,IN,47401,No Agent,,,Multi-Family,Condo,1,,3,5,"",""
5212,1997-11-10,2022-08-07,2708 S Mccartney LN,Powell Management Group,1101 S. Whisnand Rd,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,2,3,"",""
5213,1997-11-10,2022-08-07,2720 S Mccartney LN,Powell Management Group,1101 S. Whisnand Rd,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,2,3,"",""
5218,1997-11-10,2022-03-09,2718 S Mccartney LN,Powell Management Group,1101 S. Whisnand Rd,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,2,3,"",""
2559,1988-03-31,2023-06-05,417 E 2nd ST,Rachid Maidi,602 S. High Street,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,4,5,"",""
3203,1985-01-25,2022-05-24,586 E Graham PL,Richard Lin,959 Clinton Rd,Los Altos,CA,94024,Parker Real Estate Management,P O Box 1112,47402,Single-Family,,1,,3,5,"",""
4162,1994-11-09,2023-10-26,830 S Henderson ST,"Cedarwood Properties, Llc",4665 E. Inverness Woods Rd.,Bloomington,IN,47401,"Chang, Lynne L.",4665 E. Inverness Woods Rd.,47401,Single-Family,,1,,3,3,"",""
998,1989-10-02,2021-12-28,620 N Adams ST,Simon Ladd,306 1/2 S. Fairview St.,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,1,3,"",""
2910,1976-12-20,2024-04-23,310 E 11th ST,"B. Venturas, Llc",3756 Sterling Avenue,Bloomington,IN,47401,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,3,4,"",""
2912,1990-12-05,2023-07-03,470 E Varsity LN,University Properties,2015 N Dunn St,Bloomington,IN,47408,No Agent,,,Single-Family,,1,,3,5,"",""
2915,1975-11-10,2022-07-26,501 E 1st ST,College Rentals Inc.,3330 Dundee Road Suite C4,Northbrook,IL,60062,Property Stars Llc - Kelly Jones,340 S Walnut St Suite #2,47401,Single-Family,House,1,,4,4,"",""
2916,1984-01-03,2024-05-02,813 S Mitchell ST,Ganesh Properties,715 S. Mitchell Street,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,3,3,"",""
2929,1989-11-14,2023-02-02,416 E Hillside DR,"Cadavid, Leslie F. & Hernan D.",Po Box 9,Bloomington,IN,47402,Parker Real Estate Management,P O Box 1112,47402,Single-Family,,1,,4,5,"",""
2935,1975-11-05,2021-08-24,816 N Grant ST,"Powder Monkey, Llc",940 N. Walnut St,Bloomington,IN,47404,Elkins Apartments,940 N. Walnut Street,47404,Single-Family,House,1,,5,5,"",""
2943,1973-05-02,2022-02-14,102 S Clark ST,Unlabeled Holdings,318 E. Carson St.,Carson City,NV,89701,Tempo Properties Inc.,P.O. Box 5727,47407,Single-Family,House,1,,3,3,"",""
2944,1981-10-15,2024-03-18,105 N Clark ST,"White, Joan Foor",616 S. Woodlawn Ave.,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,2,3,"",""
2952,1978-10-24,2022-01-04,110 N Clark ST,Anna Stanley,1468 N Hartstrait Rod,Bloomington,IN,47404,No Agent,,,Single-Family,House,1,,2,3,"",""
2953,1986-06-23,2022-05-04,425 E University ST,"Jager, John Brian",2164 N. Lower Birdie Galyon Rd.,Bloomington,IN,47408,No Agent,,,Single-Family,House,1,,3,4,"",""
2956,1979-04-23,2023-01-07,1112 S Rogers ST,John White,5517 S Blackstone Ave,Chicago,IL,60637,Susan White,897 S Morton St,47402,Single-Family,House,1,,4,5,"",""
2970,1983-05-11,2023-04-15,1202 N Walnut ST,Vision Properties - Rob Friedman,"115 E. 6th Street, Suite 1",Bloomington,IN,47408,Justin Sullivan,115 E 6th St. Suite 1,47408,Single-Family,,1,,3,5,"",""
1716,1984-06-11,2024-07-19,330 N Roosevelt ST,"Hahn, Chun-Fang Bettina",P.O. Box 7961,Bloomington,IN,47407,No Agent,,,Single-Family,House,1,,4,5,"",""
1717,1979-11-28,2021-09-24,403 N Roosevelt ST,Gms Enterprises,112 E. 3rd St.,Bloomington,IN,47401,Mark A. Hoffman,112 E. 3rd St.,47401,Single-Family,House,1,,4,5,"",""
1720,1973-01-20,2023-12-28,425 N Roosevelt ST,John C. Mackey,Po Box 5446,Bloomington,IN,47407,Cindy J. Mackey,Po Box 5446,47407,Single-Family,House,1,,3,3,"",""
1721,1983-06-28,2021-11-15,101 S Roosevelt ST,Roger A. Morris,3485 S. Wickens St.,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,3,3,"",""
1723,1975-12-01,2024-03-11,110 S Roosevelt ST,"Lohkamp, Brenda L.",246 S. Little Road,Bloomfield,IN,47424,No Agent,,,Single-Family,House,1,,1,3,"",""
1723,1975-12-01,2024-03-11,110 S Roosevelt ST,"Lohkamp, Carl",2839 E. Scotland Road,Bloomfield,IN,47424,No Agent,,,Single-Family,House,1,,1,3,"",""
1732,1973-11-09,2023-04-13,907 S Sheridan DR,"Joseph Christine, Llc",3756 Sterling Ave.,Bloomington,IN,47401,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,3,3,"",""
1739,1973-09-28,2021-12-02,315 E Smith AVE,Scott Gilbert,1212 Cavell Ave,Highland Park,IL,60035,Don Sill,2607 S Bryan St.,47403,Single-Family,Apartment,1,,4,5,"",""
1740,1976-04-13,2021-10-31,317 E Smith AVE,Grant 10 Llc,3756 Sterling Ave.,Bloomington,IN,47401,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,3,5,"",""
1741,1984-08-03,2023-05-21,318 E Smith AVE,Norman A. Ladd,306 1/2 S Fairview St,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,4,5,"",""
1749,1977-03-04,2024-04-23,524 N Indiana AVE,606 Building Company,"2455 N. Tamarack Trail, Apt. 208",Bloomington,IN,47408,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,3,5,"",""
1750,1973-08-15,2022-07-08,1001 N Woodburn AVE,Norman A. Ladd,306 1/2 S Fairview St,Bloomington,IN,47403,Jennifer L. Milner,306 1/2 S. Fairview St.,47403,Single-Family,House,1,,2,3,"",""
1750,1973-08-15,2022-07-08,1001 N Woodburn AVE,Simon N. Ladd,306 1/2 S. Fairview Street,Bloomington,IN,47403,Jennifer L. Milner,306 1/2 S. Fairview St.,47403,Single-Family,House,1,,2,3,"",""
1752,1976-07-13,2022-02-13,201 E 2nd ST,Rhea Lawrence,7666 S. Harmony Rd.,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,3,5,"",""
1765,1985-07-11,2022-12-06,535 E Smith AVE,"Cassis Enterprises, Llc C/O Joanne Sabbagh",Po Box 8002,Bloomington,IN,47408,No Agent,,,Single-Family,,1,,2,5,"",""
1768,1985-06-26,2023-06-21,541 E Smith AVE,"Byrne, Margery",1637 Bellemeade Dr.,Bloomington,IN,47401,Tempo Properties Inc.,P.O. Box 5727,47407,Single-Family,,1,,2,5,"",""
1787,1988-02-10,2023-09-12,405 E Southern DR,Ganesh Properties,715 S. Mitchell Street,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,2,5,"",""
1804,1992-08-26,2021-12-20,122 N Roosevelt ST,John C. Mackey,Po Box 5446,Bloomington,IN,47407,No Agent,,,Single-Family,House,1,,3,3,"",""
3297,1985-10-01,2022-12-14,109 E 1st ST,Tcb Partners - Tom Lillis,P.O. Box 353,Bloomington,IN,47402,No Agent,,,Single-Family,,1,,3,5,"",""
609,1973-08-02,2022-01-29,414 N Harold ST,Allen & Deborah Rosenberg,12546 Scottish Bend,Carmel,IN,46033,No Agent,,,Single-Family,House,1,,5,5,"",""
614,1986-08-12,2023-03-20,924 S Hawthorne DR,Susan Wannamaker,924 S Hawthorne Dr,Bloomington,IN,47401,Gretchen Nall,P.O. Box 1327,47402,Single-Family,House,1,,3,3,"",""
624,1978-05-11,2022-05-02,447 S Henderson ST,Rachid Maidi,602 S. High Street,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,5,5,"",""
637,1977-10-18,2021-11-14,725 W Dixie ST,Owens Investments Llc - Scott Owens,Po Box 5543,Bloomington,IN,47407,Brawley Property Management,Po Box 5543,47407,Single-Family,House,1,,3,5,"",""
642,1989-03-07,2022-10-13,238 E Varsity LN,Varsity Properties,2015 N. Dunn St.,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,3,5,"",""
644,1990-01-12,2024-06-18,1001 W 11th ST,Phil Jones,911 Prospect St. #3,Takoma Park,MD,20912,Parker Real Estate Management,P O Box 1112,47402,Single-Family,,1,,3,3,"",""
661,1986-01-23,2022-01-18,517 S Mitchell ST,Cadjon Development Llc,555 N. Morton Street,Bloomington,IN,47404,Sarge Rentals,"627 N. Morton Street, Suite 204",47404,Single-Family,House,1,,4,4,"",""
673,1988-04-25,2024-07-18,411 S Fess AVE,Douglas M Mccoy,222 S. College Ave,Bloomington,IN,47404,Kimberly Key,222 S. College Avenue,47404,Single-Family,House,1,,4,5,"",""
682,1975-07-16,2022-01-30,523 S Park AVE,"Schnyder, Gene R. & Carol",487 S Clarizz Blvd,Bloomington,IN,47401,Costley & Co. Rental Mgmt. Inc.,P.O. Box 5925,47407,Single-Family,House,1,,4,5,"",""
2107,1988-12-24,2023-07-03,391 E Varsity LN,Varsity Properties,2015 N. Dunn St.,Bloomington,IN,47408,No Agent,,,Single-Family,,1,,3,5,"",""
1006,1988-10-14,2022-07-03,402 E Varsity LN,University Properties,2015 N Dunn St,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,2,5,"",""
1015,1989-11-02,2022-05-25,1108 N Woodburn AVE,David B. Willibey,4565 N. Brookwood Dr,Bloomington,IN,47404,No Agent,,,Single-Family,,1,,3,3,"",""
1017,1989-09-25,2024-04-01,712 W 11th ST,Thomas & Jill Bunger,2043 S. Ramsey Drive,Bloomington,IN,47401,Parker Real Estate Management,P O Box 1112,47402,Single-Family,House,1,,3,3,"",""
1026,1975-07-09,2023-01-17,901 W 7th ST,John Bavender,P. O. Box 2465,Bloomington,IN,47402,No Agent,,,Single-Family,House,1,,1,3,"",""
1064,1987-10-20,2022-07-30,123 N Jefferson ST,L. Rhett & Marilyn Fagg,P.O. Box 1726,Nashville,IN,47448,Parker Real Estate Management,P O Box 1112,47402,Single-Family,,1,,3,3,"",""
1069,1976-04-15,2022-08-10,120 N Jefferson ST,Dave & Erika Gowan,11363 Spyglass Ridge Dr,Fishers,IN,46037,No Agent,,,Single-Family,,1,,4,3,"",""
1070,1981-10-29,2022-05-09,311 N Jefferson ST,Baseline Properties,P.O. Box 303,Clear Creek,IN,47426,"Tempo Properties, Inc C/O Dave Thornbury",P.O. Box 5727,47402,Single-Family,House,1,,5,5,"",""
1072,1981-11-05,2021-10-30,318 N Jefferson ST,"Stasny & Horn, Igp",P.O. Box 7676,Bloomington,IN,47407-7676,No Agent,,,Single-Family,House,1,,3,3,"",""
1077,1974-03-18,2023-04-13,110 S Jefferson ST,"Steele, David & Bonnie",3362 Valleyview Dr.,Bloomington,IN,47401,Costley & Co. Rental Mgmt. Inc.,P.O. Box 5925,47407,Single-Family,House,1,,4,5,"",""
1078,1984-07-26,2024-04-05,118 S Jefferson ST,John W. & Sharon Kirtland,616 Glen Arbor Way,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,5,5,"",""
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1085,1979-02-07,2022-12-11,326 S Jordan AVE,"Sinn, Charles R. Sr.",2557 S. Smith Rd,Bloomington,IN,47401,"Sinn, Charles Jr.",2559 S. Smith Road,47401,Multi-Family,Rooming House,1,,1,1,"",Sleeping Room
1087,1974-06-03,2023-10-01,402 S Jordan AVE,"Dial, Nora B.",228 Creekside Village Dr.,Los Gatos,CA,95032,"Dial, Mark S.",10390 Bono Road,47802,Single-Family,House,1,,3,4,"",""
1090,1981-01-21,2024-02-20,417 S Jordan AVE,David H. Kamen,1440 S. Liberty Drive,Bloomington,IN,47403,Lisa Kamen,1440 S. Liberty Dr.,47403,Single-Family,House,1,,3,4,"",""
4409,1996-09-17,2023-04-30,1404 S Palmer AVE,Estate Of Walter Maynard (Rose Marie Carnes),1027 Landon Lane,Arnold,MD,21012,Jeanne Walters Real Estate,107 E. 6th St.,47408,Single-Family,House,1,,3,3,"",""
4402,1996-05-02,2024-03-07,3237 E Covenanter DR,Hays Building Llc,3321 S. Cheekwood Lane,Bloomington,IN,47401,"Renaissance Rentals, Llc",3321 S. Cheekwood Lane,47401,Single-Family,Condo,1,,2,5,"",""
4440,1996-05-02,2022-02-22,3201 E Covenanter DR,Hays Building Llc,3321 S. Cheekwood Lane,Bloomington,IN,47401,"Renaissance Rentals, Llc",3321 S. Cheekwood Lane,47401,Single-Family,,1,,2,5,"",""
4459,1996-05-14,2022-02-24,3209 E Covenanter DR,"Renaissance Rentals, Llc",3321 S. Cheekwood Lane,Bloomington,IN,47401,No Agent,,,Single-Family,Condo,1,,2,4,"",""
3575,1991-07-23,2022-03-13,300 N Roosevelt ST,Rudy & Nancy Kaster,7855 Fairfax Road,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,2,3,"",""
4413,1996-04-19,2023-07-03,1555 N Lincoln ST,Varsity Properties,2015 N. Dunn St.,Bloomington,IN,47408,No Agent,,,Single-Family,House,1,,7,5,"",""
4596,1996-06-17,2022-05-28,1600 E 2nd ST,"Okamoto, Dina",610 W. 3rd St,Bloomington,IN,47404,Bloomington Rentals Inc.,P.O. Box 1327,47402,Single-Family,House,1,,3,3,"",""
4597,1996-06-20,2021-09-10,211 E Vermilya AVE,Linda L. Braunlin,6465 W. Tarkington Lane,Bloomington,IN,47403,No Agent,,,Single-Family,House,1,,2,5,"",""
4616,1996-07-01,2022-09-02,405 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,,1,,3,5,"",""
4619,1996-06-17,2021-08-29,415 W Hoosier Court AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,Condo,1,,3,5,"",""
4625,1996-06-24,2022-03-01,432 W Northlane DR,Fmly Properties Llc C/O Robert Krause,7704 Eider Dr,Hobart,IN,46342,No Agent,,,Single-Family,Condo,1,,3,5,"",""
4629,1996-07-29,2023-11-08,438 W Northlane DR,James & Sandra Britton,2521 Kinser Pike,Bloomington,IN,47404,No Agent,,,Single-Family,Condo,1,,3,5,"",""
4632,1996-07-01,2022-03-19,512 W Northlane DR,E & M Rock Llc,9407 Poplar Creek,Leo,IN,46765,Parker Real Estate Management,P O Box 1112,47402,Single-Family,Condo,1,,3,5,"",""
4439,1996-05-02,2022-02-22,3166 E Covenanter DR,Hays Building Llc,3321 S. Cheekwood Lane,Bloomington,IN,47401,"Renaissance Rentals, Llc",3321 S. Cheekwood Lane,47401,Single-Family,Condo,1,,2,5,"",""
4429,1996-05-02,2022-02-24,944 S Clarizz BLVD,"Renaissance Rentals, Llc",3321 S. Cheekwood Lane,Bloomington,IN,47401,No Agent,,,Single-Family,Condo,1,,2,5,"",""
4403,1996-05-02,2022-02-24,990 S Clarizz BLVD,"Renaissance Rentals, Llc",3321 S. Cheekwood Lane,Bloomington,IN,47401,No Agent,,,Single-Family,Condo,1,,4,5,"",""
4494,1996-04-25,2022-09-12,900 W 11th ST,Annette A. Fultz (Daja),12406 Tunnelton Rd.,Bedford,IN,47421,"Prodigy Real Estate, Llc",3880 E. 3rd Street Suite A,47401,Single-Family,House,1,,4,3,"",""
2525,1985-04-19,2022-08-24,114 E 1st ST,Kenneth D. Titus,1760 S Garrison Chapel Rd,Bloomington,IN,47403,Brawley Property Management,Po Box 5543,47407,Single-Family,,1,,5,5,"",""
3301,1976-04-14,2021-11-01,1818 E 3rd ST,Burnham Rentals,Po Box 1248,Bloomington,IN,47402,No Agent,,,Single-Family,,1,,6,3,"",""
3316,1997-09-18,2022-04-01,1131 W 8th ST,Judith Flynn,835 W. 7th St,Bloomington,IN,47404,No Agent,,,Single-Family,,1,,1,3,"",""
3317,1982-07-07,2022-03-21,1010 W 11th ST,All Natural Properties Llc,4217 E. 3rd Street,Bloomington,IN,47401,No Agent,,,Single-Family,House,1,,3,3,"",""
3321,1982-09-14,2022-04-11,1047 W 12th ST,"Triple Double, Llc",555 N. Morton St.,Bloomington,IN,47404,Sarge Rentals,"627 N. Morton Street, Suite 204",47404,Single-Family,House,1,,4,3,"",""
3322,1985-01-25,2022-09-14,212 E 15th ST,"Galuoppo, Joe J.",5981 E. St. Rd. 45,Bloomington,IN,47408,No Agent,,,Single-Family,,1,,2,4,"",""
3325,1987-04-25,2023-01-08,719 W 7th ST,"Spiaggia, Cathrine",2300 Tapp Rd.,Bloomington,IN,47403,No Agent,,,Single-Family,,1,,3,3,"",""
3327,1987-11-10,2023-01-07,1017 1/2 S Walnut ST,"Mainway Shopping Center Of Blgtn., Inc.",403 E. 6th St.,Bloomington,IN,47408,Olympus Properties,2620 N. Walnut Street Suite 1000,47408,Single-Family,House,1,,2,5,"",""
3337,1982-02-03,2022-10-16,817 W 4th ST,"Jacobs, Marion",4725 Louden Road,Bloomington,IN,47404,No Agent,,,Single-Family,,1,,2,3,"",""
3347,2004-03-24,2021-10-02,1274 S College Mall RD,Mathew Enterprises Llc,3231 Mitchell Road,Bedford,IN,47421,No Agent,,,Single-Family,Condo,1,,2,5,"",""
3350,1991-02-20,2023-02-21,300 E State Road 45 46 Bypass  UNIT 25,Varsity Properties,2015 N. Dunn St.,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,3,5,"",""
3072,1978-03-01,2023-09-17,515 E 1st ST,"Schooley, David J.",Po Box 7852,Bloomington,IN,47407,No Agent,,,Single-Family,Apartment,1,,5,5,"",""
4839,1996-10-21,2022-06-22,452 E Melrose AVE,Hunter Regency Court Properties Llc,2201 Main Street,Evanston,IL,60202,Tracey B Walker,1200 Rolling Ridge Way - Office,47403,Single-Family,Apartment,1,,4,5,"",""
2543,1976-01-20,2022-06-06,819 W 1st ST,Mckee Properties,4502 N Northwoods Ln,Bloomington,IN,47404,No Agent,,,Single-Family,House,1,,3,5,"",""
4314,1995-12-22,2023-09-13,924 E Atwater AVE,Matt L. Wisen,P.O. Box 1400,Bloomington,IN,47401,No Agent,,,Single-Family,,1,,6,5,"",""
2108,1988-12-20,2024-01-03,392 E Varsity LN,Varsity Properties,2015 N. Dunn St.,Bloomington,IN,47408,No Agent,,,Single-Family,Condo,1,,3,5,"",""
2109,1988-12-24,2023-07-03,393 E Varsity LN,Varsity Properties,2015 N. Dunn St.,Bloomington,IN,47408,No Agent,,,Single-Family,,1,,3,5,"",""
2116,1989-01-12,2023-07-30,400 E Varsity LN,"Stadium Crossing, Llc",2015 N. Dunn St,Bloomington,IN,47408,No Agent,,,Single-Family,,1,,2,5,"",""
